"","Issue","State","ZIP_code","Count","Latitude","Longitude"
"185","Loan servicing，payments，escrow account","WI",54455,1,44.7594,-89.7302
"186","Loan servicing，payments，escrow account","WI",54452,2,45.2178,-89.7357
"187","Loan servicing，payments，escrow account","WI",54449,4,44.635,-90.2158
"188","Loan servicing，payments，escrow account","WI",54442,1,45.3657,-89.6723
"189","Loan servicing，payments，escrow account","WI",54440,1,44.8166,-89.3952
"190","Loan servicing，payments，escrow account","WI",54426,2,44.9082,-90.027
"191","Loan servicing，payments，escrow account","WI",54411,1,45.0778,-90.0016
"192","Loan servicing，payments，escrow account","WI",54409,5,45.107,-89.1594
"193","Loan servicing，payments，escrow account","WI",54406,1,44.4034,-89.3202
"194","Loan servicing，payments，escrow account","WI",54405,1,44.9523,-90.289
"195","Loan servicing，payments，escrow account","WI",54403,3,45.0198,-89.5425
"196","Loan servicing，payments，escrow account","WI",54401,4,44.9523,-89.7069
"197","Loan servicing，payments，escrow account","WI",54313,10,44.6093,-88.1203
"198","Loan servicing，payments，escrow account","WI",54311,6,44.5238,-87.9232
"199","Loan servicing，payments，escrow account","WI",54304,3,44.4903,-88.0565
"200","Loan servicing，payments，escrow account","WI",54302,3,44.5083,-87.9738
"201","Loan servicing，payments，escrow account","WI",54301,3,44.4816,-88.0197
"202","Loan servicing，payments，escrow account","WI",54247,1,44.193,-87.8243
"203","Loan servicing，payments，escrow account","WI",54246,1,45.3741,-86.9
"204","Loan servicing，payments，escrow account","WI",54241,1,44.2368,-87.5691
"205","Loan servicing，payments，escrow account","WI",54235,1,44.7913,-87.4294
"206","Loan servicing，payments，escrow account","WI",54230,1,44.1511,-87.9528
"207","Loan servicing，payments，escrow account","WI",54220,6,44.1049,-87.7258
"208","Loan servicing，payments，escrow account","WI",54216,3,44.4405,-87.5931
"209","Loan servicing，payments，escrow account","WI",54213,1,44.6961,-87.5728
"210","Loan servicing，payments，escrow account","WI",54210,1,45.2538,-87.0297
"211","Loan servicing，payments，escrow account","WI",54208,4,44.3748,-87.796
"212","Loan servicing，payments，escrow account","WI",54201,1,44.6238,-87.502
"213","Loan servicing，payments，escrow account","WI",54180,2,44.3346,-88.182
"214","Loan servicing，payments，escrow account","WI",54177,1,45.3918,-87.9736
"215","Loan servicing，payments，escrow account","WI",54174,2,45.0467,-88.385
"216","Loan servicing，payments，escrow account","WI",54173,1,44.6305,-88.0306
"217","Loan servicing，payments，escrow account","WI",54165,1,44.4945,-88.3112
"218","Loan servicing，payments，escrow account","WI",54162,1,44.6794,-88.262
"219","Loan servicing，payments，escrow account","WI",54153,5,44.8856,-87.9003
"220","Loan servicing，payments，escrow account","WI",54135,1,44.9862,-88.6743
"221","Loan servicing，payments，escrow account","WI",54130,3,44.2617,-88.2225
"222","Loan servicing，payments，escrow account","WI",54121,1,45.8674,-88.3024
"223","Loan servicing，payments，escrow account","WI",54115,4,44.3911,-88.0206
"224","Loan servicing，payments，escrow account","WI",54114,1,45.2483,-88.1605
"225","Loan servicing，payments，escrow account","WI",54113,1,44.2659,-88.3087
"226","Loan servicing，payments，escrow account","WI",54106,1,44.4746,-88.453
"227","Loan servicing，payments，escrow account","WI",54101,1,44.791,-88.0605
"228","Loan servicing，payments，escrow account","WI",54025,1,45.1331,-92.6937
"229","Loan servicing，payments，escrow account","WI",54022,2,44.8368,-92.6035
"230","Loan servicing，payments，escrow account","WI",54021,4,44.7409,-92.7179
"231","Loan servicing，payments，escrow account","WI",54017,3,45.1232,-92.4883
"232","Loan servicing，payments，escrow account","WI",54016,4,44.9713,-92.6957
"233","Loan servicing，payments，escrow account","WI",54015,1,44.9667,-92.4507
"234","Loan servicing，payments，escrow account","WI",54011,2,44.7027,-92.4509
"235","Loan servicing，payments，escrow account","WI",54001,1,45.3296,-92.3805
"236","Loan servicing，payments，escrow account","WI",53965,2,43.6924,-89.7297
"237","Loan servicing，payments，escrow account","WI",53963,2,43.6579,-88.765
"238","Loan servicing，payments，escrow account","WI",53959,3,43.5423,-89.9338
"239","Loan servicing，payments，escrow account","WI",53956,1,43.5427,-89.0046
"240","Loan servicing，payments，escrow account","WI",53954,1,43.5593,-89.2766
"241","Loan servicing，payments，escrow account","WI",53952,2,43.7942,-89.5972
"242","Loan servicing，payments，escrow account","WI",53949,4,43.7828,-89.3015
"243","Loan servicing，payments，escrow account","WI",53948,1,43.7779,-90.0178
"244","Loan servicing，payments，escrow account","WI",53944,1,43.6759,-89.9465
"245","Loan servicing，payments，escrow account","WI",53943,1,43.3877,-90.0275
"246","Loan servicing，payments，escrow account","WI",53936,1,43.8726,-89.6475
"247","Loan servicing，payments，escrow account","WI",53934,1,43.9766,-89.7882
"248","Loan servicing，payments，escrow account","WI",53925,3,43.3347,-89.0478
"249","Loan servicing，payments，escrow account","WI",53923,1,43.5742,-89.1364
"250","Loan servicing，payments，escrow account","WI",53916,3,43.4485,-88.848
"251","Loan servicing，payments，escrow account","WI",53913,2,43.4932,-89.7436
"252","Loan servicing，payments，escrow account","WI",53910,1,43.8802,-89.8075
"253","Loan servicing，payments，escrow account","WI",53901,3,43.5343,-89.5172
"254","Loan servicing，payments，escrow account","WI",53809,1,42.9926,-90.651
"255","Loan servicing，payments，escrow account","WI",53805,1,43.1572,-90.6735
"256","Loan servicing，payments，escrow account","WI",53719,7,43.0293,-89.5178
"257","Loan servicing，payments，escrow account","WI",53718,3,43.1084,-89.2665
"258","Loan servicing，payments，escrow account","WI",53717,2,43.0756,-89.5144
"259","Loan servicing，payments，escrow account","WI",53716,1,43.0604,-89.344
"260","Loan servicing，payments，escrow account","WI",53714,6,43.1029,-89.3124
"261","Loan servicing，payments，escrow account","WI",53713,3,43.0352,-89.3894
"262","Loan servicing，payments，escrow account","WI",53711,3,43.0214,-89.3595
"263","Loan servicing，payments，escrow account","WI",53704,5,43.1322,-89.3512
"264","Loan servicing，payments，escrow account","WI",53703,2,43.0802,-89.3746
"265","Loan servicing，payments，escrow account","WI",53597,4,43.185,-89.468
"266","Loan servicing，payments，escrow account","WI",53593,1,42.9921,-89.571
"267","Loan servicing，payments，escrow account","WI",53590,6,43.193,-89.2169
"268","Loan servicing，payments，escrow account","WI",53589,2,42.9262,-89.2131
"269","Loan servicing，payments，escrow account","WI",53588,1,43.1751,-90.0974
"270","Loan servicing，payments，escrow account","WI",53583,1,43.2643,-89.6631
"271","Loan servicing，payments，escrow account","WI",53579,2,43.2838,-88.8611
"272","Loan servicing，payments，escrow account","WI",53576,1,42.6319,-89.2239
"273","Loan servicing，payments，escrow account","WI",53573,1,43.1987,-90.4174
"274","Loan servicing，payments，escrow account","WI",53572,1,42.9613,-89.727
"275","Loan servicing，payments，escrow account","WI",53570,1,42.7346,-89.6451
"276","Loan servicing，payments，escrow account","WI",53566,1,42.614,-89.6761
"277","Loan servicing，payments，escrow account","WI",53563,1,42.7784,-88.9356
"278","Loan servicing，payments，escrow account","WI",53562,4,43.1126,-89.5318
"279","Loan servicing，payments，escrow account","WI",53559,1,43.1725,-89.1083
"280","Loan servicing，payments，escrow account","WI",53558,1,43.006,-89.2933
"281","Loan servicing，payments，escrow account","WI",53555,2,43.3176,-89.5597
"282","Loan servicing，payments，escrow account","WI",53551,5,43.0924,-88.8995
"283","Loan servicing，payments，escrow account","WI",53549,3,42.9907,-88.8023
"284","Loan servicing，payments，escrow account","WI",53548,1,42.6974,-89.1516
"285","Loan servicing，payments，escrow account","WI",53545,4,42.7284,-89.0277
"286","Loan servicing，payments，escrow account","WI",53538,2,42.9231,-88.8233
"287","Loan servicing，payments，escrow account","WI",53536,1,42.7754,-89.2799
"288","Loan servicing，payments，escrow account","WI",53534,2,42.8505,-89.0999
"289","Loan servicing，payments，escrow account","WI",53532,2,43.2372,-89.3338
"290","Loan servicing，payments，escrow account","WI",53531,2,43.06,-89.0955
"291","Loan servicing，payments，escrow account","WI",53528,1,43.1187,-89.6403
"292","Loan servicing，payments，escrow account","WI",53527,1,43.0606,-89.2132
"293","Loan servicing，payments，escrow account","WI",53525,1,42.5592,-88.8447
"294","Loan servicing，payments，escrow account","WI",53523,4,42.9754,-89.0478
"295","Loan servicing，payments，escrow account","WI",53521,1,42.8381,-89.4229
"296","Loan servicing，payments，escrow account","WI",53520,1,42.5983,-89.3903
"297","Loan servicing，payments，escrow account","WI",53511,6,42.5592,-89.0827
"298","Loan servicing，payments，escrow account","WI",53406,6,42.7336,-87.8736
"299","Loan servicing，payments，escrow account","WI",53405,2,42.7342,-87.827
"300","Loan servicing，payments，escrow account","WI",53404,1,42.7598,-87.8155
"301","Loan servicing，payments，escrow account","WI",53403,1,42.6947,-87.8031
